"x","y"
3907586.4312513,1124898.96586752
3934075.19999588,1114352.83673549
3939929.47899566,1111063.37879582
3911587.22294016,1098162.88159219
3928862.93419672,1098293.10320963
3902742.54997677,1097196.62561388
3910854.53664643,1096706.16261894
3913669.51989891,1096570.00642387
4053160.4338364,1096513.26707385
4031723.75242034,1093832.1645577
3815472.5291776,1093285.93914284
3933880.51193608,1091908.44245687
3960730.00602003,1092219.24665185
3834119.05818054,1089164.33893842
3836020.47258605,1089601.41676381
3839758.97052712,1088983.290175
3926383.06070019,1087804.87299426
3908004.71264799,1084993.37765247
3925340.94873306,1084725.75929738
3938561.95791808,1085125.33927883
3895947.06282938,1084580.11139733
3910715.1906798,1083731.90168839
3931655.45236953,1084709.53338823
3937775.48219277,1081404.99826317
4052412.26839452,1078848.25899199
3838879.31671668,1078845.314765
3792953.57217291,1078047.39575141
3868988.34783962,1077575.0809278
3872026.44322641,1076972.75819721
3895050.22167361,1076910.06356063
3919181.89878874,1076384.0193729
3950919.00989941,1076316.03389053
3789784.35205673,1075760.00265565
3882407.28190475,1075929.85871876
3894731.98233971,1074795.21864805
3961901.64759282,1075501.57986199
3828419.07646434,1073629.8057143
3854032.98902343,1073442.46250262
3887189.00754745,1073622.51708453
3948976.38529301,1073616.8604973
3900147.28925013,1072731.25426121
3843038.33880148,1071424.50020588
3896463.1537207,1070506.37055354
3858935.20680653,1067875.99537376
3860188.81777027,1067826.65692405
3836857.82722392,1067658.33810227
3887269.98328355,1066144.32210389
3817485.52241833,1065868.95722339
3825101.81944272,1064839.54185772
3901188.35576602,1064171.57674783
3951245.47463743,1064145.62454867
3811691.35935363,1063238.68192001
3794169.93768963,1062270.05819973
3838444.0648565,1061991.99334951
3899309.75231082,1064348.57551979
3884989.94820352,1061621.16236445
3923700.61826585,1061368.98511079
3923095.36450691,1061493.12779276
3928637.92985968,1060854.18123587
3919924.61865416,1060183.91050245
3939318.18756519,1059830.72747849
3795535.69040748,1058055.626523
3955384.12341703,1057985.95617248
3834523.0402458,1057236.47216591
3835819.33192269,1057054.63865016
3976764.12398518,1056621.85410836
3849560.1324175,1055813.12947482
3947007.83484485,1054685.24889308
3919270.91591097,1053886.93535641
3781198.81347146,1053383.2042885
3811490.12174074,1052865.03083226
3827269.57571353,1053938.13468622
3870433.24676611,1050813.88000118
3870662.76275589,1051301.08416713
3851466.11804221,1050798.34424942
3896132.65959606,1049614.69007429
3868555.30901699,1049223.10104671
3912237.65033517,1049583.10858623
3915809.61771961,1049836.95533225
3794666.30965147,1048771.77970777
3776994.48664776,1047896.2215591
3922576.39028109,1047446.41147752
3926483.42247079,1048101.42589395
3955636.29189528,1047244.77084531
3760491.41426148,1047867.70645159
3869596.68309236,1046972.4043659
3906565.03831869,1046624.0099609
3871576.60109978,1046438.49836558
3927454.47516114,1045147.98140801
3978515.83151346,1044905.22375134
3931371.25095108,1043275.08678213
3778701.3984734,1043228.59169769
3844553.40085182,1042647.36194732
3899005.21460145,1043218.12913033
3921278.76262882,1043357.50377272
3785424.44837342,1042603.42949597
3898645.88077075,1041805.59470744
3927267.82901864,1042895.54648481
3954810.33787548,1041786.01946288
3940669.87684954,1039813.14600933
3976293.68588863,1040666.90781047
3767114.63442803,1039287.59381932
3862933.71566082,1039103.00905736
3901637.8042662,1039614.11330851
3916376.23470873,1039370.12887554
3942336.53297013,1038452.35671845
3841783.08471041,1038149.13583297
3867158.0637305,1037289.49223325
3877649.48056014,1038140.73949375
3886598.34639181,1037677.06976222
3918125.93268328,1037290.12147379
3925818.15704716,1037013.51205053
3859156.20470971,1036482.64632572
3907403.41578801,1036195.58781517
3823888.33916114,1035036.23734595
3853625.47193111,1034904.85580933
3910961.68284538,1034700.55727676
3929987.0928877,1035802.22544461
3983365.25799452,1034293.35847639
3942451.50717659,1034008.26389075
3786740.3434279,1034366.28304898
3814283.36575719,1034279.28989646
4013203.35224834,1033306.84828386
3894219.35506598,1032447.86697349
3766473.14675054,1030678.42864855
3788531.98293238,1030241.95311461
3885427.05087863,1031189.18981277
3951507.05032766,1030228.42776456
3805249.22997021,1030786.00524528
3824490.14403506,1030083.87684979
3940684.68346097,1029841.05001774
3903813.58125907,1029026.50740092
3973603.50751116,1028970.67859465
3705270.86909882,1028338.8930198
3907541.07117472,1027967.38332174
3955318.29960343,1028610.24178242
3811967.57999526,1026067.04919061
3755125.49072907,1025543.34075728
3817162.84745132,1026284.26247877
3749103.33737752,1025429.60897584
3881316.61437005,1025572.20799714
3892205.12488471,1025338.97351738
3820944.51852829,1024368.98724202
