"","Samples"
"1",1
"2",2
"3",12
"4",13
"5",16
"6",24
"7",27
"8",36
"9",38
"10",40
"11",42
"12",45
"13",46
"14",49
"15",57
"16",63
"17",75
"18",76
"19",78
"20",85
"21",86
"22",87
"23",89
"24",95
"25",99
"26",104
"27",106
"28",107
"29",108
"30",114
"31",116
"32",117
"33",120
"34",124
"35",128
"36",129
"37",133
"38",134
"39",145
"40",149
"41",150
"42",151
"43",154
"44",159
"45",162
"46",165
"47",175
"48",177
"49",180
"50",181
"51",184
"52",187
"53",189
"54",198
"55",199
"56",200
"57",201
"58",214
"59",217
"60",219
"61",223
"62",228
"63",230
"64",235
"65",241
"66",252
"67",253
"68",256
"69",262
"70",263
"71",264
"72",271
"73",281
"74",282
"75",285
"76",288
"77",293
"78",294
"79",295
"80",298
"81",305
"82",317
"83",319
"84",324
"85",328
"86",334
"87",339
"88",342
"89",358
"90",363
"91",364
"92",365
"93",367
"94",375
"95",377
"96",380
"97",386
"98",390
"99",394
"100",395
"101",396
"102",397
"103",399
"104",402
"105",412
"106",415
"107",417
"108",419
"109",434
"110",444
"111",450
"112",453
"113",457
"114",458
"115",470
"116",471
"117",477
"118",478
"119",482
"120",485
"121",509
"122",511
"123",512
"124",518
"125",523
"126",524
"127",525
"128",526
"129",535
"130",536
"131",539
"132",540
"133",543
"134",544
"135",545
"136",546
"137",549
"138",550
"139",551
"140",560
"141",569
"142",577
"143",582
"144",583
"145",584
"146",588
"147",592
"148",595
"149",596
"150",600
"151",601
"152",603
"153",604
"154",605
"155",613
"156",618
"157",619
"158",620
"159",624
"160",627
"161",634
"162",640
"163",642
"164",646
"165",648
"166",651
"167",670
"168",672
"169",673
"170",675
"171",682
"172",685
"173",687
"174",691
"175",692
"176",699
"177",702
"178",703
"179",705
"180",716
"181",727
"182",728
"183",730
"184",731
"185",732
"186",733
"187",738
"188",739
"189",742
"190",744
"191",748
"192",750
"193",755
"194",767
"195",768
"196",769
"197",771
"198",779
"199",786
"200",792
"201",796
"202",800
"203",805
"204",807
"205",808
"206",815
"207",819
"208",820
"209",830
"210",831
"211",834
"212",841
"213",842
"214",850
"215",855
"216",862
"217",863
"218",866
"219",868
"220",873
"221",874
"222",882
"223",889
"224",896
"225",899
"226",912
"227",915
"228",916
"229",918
"230",927
"231",929
"232",930
"233",937
"234",940
"235",941
"236",942
"237",945
"238",946
"239",947
"240",954
"241",957
"242",960
"243",972
"244",973
"245",974
"246",980
"247",983
"248",984
"249",989
"250",991
