"x","y"
3922349.15458285,1049685.8093701
3847332.91689755,1018575.17579577
3852568.42070298,1049470.35422519
3936176.95141767,1112623.30285798
3828865.94016285,891522.819149259
3912380.19775368,1053083.2605375
3937973.8642746,1057947.34011064
3975536.30052598,934672.574408891
3958022.94290672,1073325.52557579
3792216.11535492,850773.741143944
3856574.11011079,911006.344715592
3890466.03576456,886952.848284454
3894972.49739732,963420.689301072
3834334.33634171,895890.115929346
3818089.2481484,864356.636013148
3950268.41300384,1064498.64851942
3811433.02469534,791913.210780086
3980730.94162068,997149.627472895
3943919.02926853,884588.52082365
3881726.48961575,1111297.32835176
3865917.33265214,1043405.94083993
3842580.50711475,943633.816817865
3974945.97814845,1099214.95483999
3906854.42328729,905900.277594186
3784277.84756207,711831.328305975
3923546.43870146,973560.516884363
3836820.07783569,865582.793957999
3938075.08285891,1058900.46470513
3759909.22721115,973585.93758543
3808295.13116179,729208.043249798
3914240.68172195,1088194.1357057
3934860.79467161,1044181.00199108
3802091.33114093,797058.857824381
3971449.72208381,1022817.14373454
3868043.70066531,1054550.04768165
3906838.24332082,998912.241706119
3910054.38403971,1028184.33497131
3822510.52250044,872150.862161593
3929647.73730421,1119672.96616644
3783428.61517023,1050200.94848207
3909223.72567496,979010.631913404
3936602.55046591,941865.027755776
3908247.37719413,1004605.17527708
3843838.13320607,1047366.6143051
3966149.25650372,995336.104310662
3834365.47126196,955772.718720494
3949703.82000735,980201.38000663
3919983.53615639,1049750.31612376
3904504.37506367,906852.31658429
3925299.04822998,876832.87856927
3911665.95971293,1065621.66691169
3962465.1185179,1057131.75448123
3838411.01888047,980906.132625179
3822951.98274004,711862.125599418
3971769.08490495,1027193.72174081
3849481.53529136,908803.084119494
3899060.67171302,1063330.59058164
3872367.2416553,1075934.79502187
3864038.06105409,947249.365452116
3903229.71433625,834497.306416746
3953431.35430599,1020615.8548411
3855739.89685105,781178.451867792
3907145.81639659,961033.994983014
3823072.28874835,709847.425274968
3909811.00145778,857689.308709627
3933339.97766387,1065792.30545222
3872282.98348051,777173.403598889
3803014.34312528,803854.687499383
3978659.4659916,1019623.78793257
3912743.9577514,952100.730797963
3932144.2231456,1004446.9706995
3841023.11670693,828630.469260445
3975690.39148135,896063.382329515
3857936.02081563,909105.069959626
3889990.9237628,978895.169412406
3951609.20349797,1036792.70147658
3923160.26466553,997070.698115873
3862339.31041715,854019.429166318
3822672.27013069,850887.239064156
3948594.97270215,968057.333854472
3869672.61537112,1100115.85122372
3917781.59773719,1056495.21621231
3868342.65552238,1076577.79770732
3948178.02678953,963225.802496844
3845338.15075674,795116.100406459
3917640.57992432,1050693.9326046
3891957.57945361,1018180.07683372
3816571.21289377,858559.133308713
3932405.72022187,991262.958097239
3958235.06664783,954225.108088932
3947491.04375498,939953.341808273
3923289.96035244,1046389.03455361
3977827.44547866,1022551.64195301
3825192.9904897,876151.802792872
3970686.79803175,1079613.57593279
3915962.01000447,973179.425123485
3925988.5361389,839411.069718125
3851279.20606928,725545.871193321
3908019.01750832,1077607.53852365
3933012.52407005,834693.825274524
3964765.63964679,1041155.62299476
3777082.20754766,939702.586698586
3869896.2870693,890978.837338174
3859255.09055784,860612.538116786
3986306.52347855,1106922.93657428
3800545.43799244,712507.661653694
3945432.98806755,1055681.40724822
3940182.36413244,1079015.14880094
3840736.22408081,820301.777517357
3861023.26155672,826177.049225306
3877194.6956351,951692.079837714
3944610.63051946,877968.007959195
3888467.76304724,1029813.18291098
3938721.79213276,993497.566595482
3804878.93045112,878102.276415433
3902755.19802689,898126.416152615
3784352.104935,810420.228760064
3908968.57288811,913085.466315567
3998682.12356909,1038756.64379012
3910412.48313529,885534.484571873
3961080.3953426,931386.443356612
3932531.62951192,1006075.97548326
3897570.51088765,970476.551732438
3917152.8171349,1072841.21995583
3879222.25782997,930889.059230225
3922022.52510969,1029931.06059598
3833963.26017682,945353.65735518
3796608.14332115,853780.887934568
3770812.61366826,945259.351512562
3966220.54539078,971012.400727152
3776534.28668043,717833.399627505
3851432.7342055,1079181.76332094
3769386.50269623,752598.836491211
3929066.57142442,1028765.91674316
3909305.29793181,1034614.84761243
3899713.83674997,1098836.60260743
3951518.55876134,892518.323407329
3957263.37826156,1052453.87416011
3828707.72885486,744594.267932323
3955264.68663056,981271.933466457
3931447.35102079,925301.08375144
3816942.9223522,813597.59496363
3924229.85956162,1098338.16135637
3842128.35580689,1047842.76505197
3901029.6458938,1016547.45531091
3871748.27159789,989283.528171943
3956730.05704131,958762.113932946
3942941.27737575,947349.579119845
3868373.54974952,1007381.75156993
3959732.94033575,1106167.03017007
3902930.57222261,1071949.11525196
3995711.63965989,1003847.43917994
3865206.99774947,1080141.34331682
3654994.63919692,770497.904703368
3958678.08886852,957229.360329453
3899047.64731026,921471.680133124
3789293.95467815,933311.926475646
3914567.21545255,865677.277459552
3798607.60755809,765915.407720863
3899177.50223251,914037.241926148
3929093.36389807,842242.246224629
3919880.23011129,1046943.68843019
3931227.4692051,1078464.94580601
3933015.42849073,1033044.87290806
3954223.02220178,920090.302298291
3884075.57167803,829868.432332603
3872080.96581217,1020152.35187908
3904254.95365432,1033503.08611657
4010770.45947232,1074378.67475348
3776504.955456,709644.863061165
3802933.09924534,930905.072541508
3902257.2364626,867379.87671673
3978595.96362191,1033518.76299894
3855904.97835781,899986.116317249
3925432.15532961,1020526.12686033
3890002.7990395,1068716.68872458
3851476.02144753,863715.336669185
3944325.91675245,1022805.63078452
3879535.47788982,1070619.47996072
3914453.84505946,1071368.36707306
3974257.22356624,892578.972320724
3799124.71778502,828125.562856895
3823982.6083956,959015.844842496
3957529.91710765,1039142.26260127
3940231.353821,1074427.1512587
3779890.50584096,844189.006760872
3930331.63764927,983663.269304304
4024688.00586747,1100318.89014397
3807166.96858392,974539.423359534
3827605.10416888,959564.859842731
3950729.10273983,1069921.68202325
3890054.75479262,980800.199036949
3940739.3539741,996657.135562013
3794349.68217068,753440.51366975
3915058.33111461,1071129.54146409
3882438.16826286,934291.984644837
3893165.34052151,775295.103720518
3983223.63762706,1074806.84355158
3771768.42197471,872809.119093478
3828662.24768441,957331.510691019
3939130.75773128,897330.344020647
3797925.33151065,711377.52983453
3954534.93768948,967767.990793047
3954643.51870088,951358.516349771
3974258.5453996,1086158.07134495
3856884.06925057,890390.989423283
3804947.63405699,759754.696827293
3882918.96005062,841741.9140834
3914391.06412547,1029652.71489949
3796650.78488128,839217.826632925
3943026.85902878,1128663.914087
3867681.20337049,907003.488526411
3913173.77600399,1097208.15328006
3961938.02808088,925323.841518215
3878117.85089181,882055.008059822
3915854.43075991,1028624.53066747
4032508.0166898,1072498.22669974
3907235.27745664,1019448.1023774
3885315.24828051,1023456.98186572
3940509.58704799,924736.34677793
3821652.61320097,722876.980296052
3864300.09365855,808175.908401989
3935039.57316194,1108245.48716588
3903730.33942213,781534.643865179
3938174.93858648,1064622.42522989
3886617.96838163,962324.130107198
3870033.21122178,811569.878247884
3908123.59131853,987877.431755344
3867793.650957,752940.504312153
3928387.00660493,1003475.09438423
3963361.04515691,1020877.15873072
3886137.00113056,1051706.95716033
3797984.41883103,849903.969271631
3947280.09741889,1029290.49388555
3894392.23005399,800347.374038801
3894185.19143686,842788.488679103
3844918.34770767,817884.263782802
