"x","y"
3960308.57212327,985135.406321349
3912328.37845429,1102147.21443238
3908149.17120297,1105451.21768952
3911166.05992862,1101660.95062372
3943204.05677981,1045922.34635534
3887759.14438413,876667.504633857
3888461.22635945,881945.21211036
3885863.29452073,879810.962154692
3892466.01691419,1087652.52901666
3897373.96891083,1086141.99321874
3895029.4931039,1089600.35502952
3906164.47767443,1006347.84961768
3909139.3342204,1005366.53007389
3907531.24340597,1007820.89920082
3907109.38606904,1003424.49932507
3913051.77830159,1037829.05178412
3917902.72624549,1039592.24882673
3918118.55397647,1037208.05561957
3917726.91509709,1037270.71193697
3924344.72537628,868327.009868255
3925325.47020629,872939.799260212
3924343.56276349,873583.800912006
3927836.21617383,872836.388884409
3801270.97335748,759689.832751006
3956044.56185747,1001734.48167262
3953398.78540068,1001514.21396731
3954386.43200437,1002550.48722091
3926607.63613112,875388.858470765
3922796.73381975,875270.312955396
3925874.89974507,878588.874581377
3921421.01284063,872495.498606046
3925839.92292255,876472.347814665
3923465.81326104,874382.324648223
3970518.71703676,1083139.08560861
3968579.90249878,1087178.84617082
3972327.27495256,1084157.32656047
3975043.15016019,1084790.45322069
3967498.0570865,1086418.12337616
3940749.27601472,1075663.98750609
3939943.32710754,1073510.04702119
3942403.71727065,1076725.19742668
3940036.20718605,1071864.39667718
3940984.60768399,1075622.91154498
3938880.06576114,1072719.39312045
3941397.07351317,1078812.58898797
3940756.50639722,1076677.65123301
3936778.40708659,976369.569653536
3935933.1108079,980731.06793995
3937674.84607844,979116.355174828
3936239.24299088,978879.901774007
3932419.97394762,979670.199802836
3934045.32913271,978781.723744993
3936283.50112128,977616.123478033
3924132.76025732,1077695.03508381
3925551.65019381,1086531.21543292
3924920.02033931,1082160.15153496
3924707.9461939,1080239.04778532
3961528.63562251,988299.364225823
3963989.60107569,984910.688060089
3962587.6865726,984607.842125007
3961079.92872619,985524.498719952
3961110.48411852,983708.7417588
3958295.56679985,986934.940430862
3935992.43406348,855763.722296001
3940222.28321323,853155.581885398
3935816.02242218,855442.662825554
3901950.29586165,911660.709083416
3930393.77921427,1079330.81798722
3930001.97475531,1076268.67020077
3928566.82280129,1077339.94649602
3932089.0265121,1079818.40667942
3930008.02005456,1079858.45194165
4014846.32825983,1049412.16470488
4017326.86707575,1044753.04404517
4016385.77698959,1045809.42985277
4012664.1317555,1045261.32683775
3850442.77620606,721701.553758849
3852263.09427513,726288.1019903
3852058.69728054,725579.878312404
3849950.50871418,728343.928671295
3852724.83839763,725129.0793096
3848947.71118984,725528.260899205
3909376.05333727,1088743.20769749
3904390.4479149,1091680.03147146
3906945.83336443,1089996.55817383
3903502.91424516,1088663.35214803
3911433.18217424,1089232.56050481
3891489.77678346,1080162.73498557
3892332.81391997,1084812.3497716
3890512.67930377,1079069.58766158
3938599.57412509,1045779.81707852
3941110.13033975,1040347.2172129
3934355.62172506,1040550.46331798
3935776.63517343,1045595.55028987
3937263.17361454,1040384.89885823
3937150.10846982,1041319.79280773
3935293.72811196,1043934.75982186
3923424.89847724,1047556.11513103
3925625.92636327,1044124.36448635
3924399.02904172,1049243.43798296
3923324.35736184,1045250.61338471
3925468.75681522,1049864.06230696
3923513.40714156,1047594.43060462
3925340.33807882,1045189.91481459
3925066.33010413,1046521.17711928
3925036.06176949,1047589.78021326
3925526.51340496,1046004.40135868
3923919.60848441,1045487.26687185
3924347.74070527,875202.175966606
3928069.04709382,873522.938082726
3925708.73719054,875347.050852787
3926395.96101531,877790.744191637
3848695.3901334,952060.190056466
3843668.68065703,947918.919834429
3845922.27902323,947538.42528994
3841387.97529305,946991.779802065
3844057.9823156,945768.654730542
3847327.83634786,947316.073027915
3849482.22154283,1062076.94503754
3848152.98748967,1061083.11354827
3925924.36671266,1045556.75757201
3925567.9930157,1047537.55878267
3923989.00679048,1046863.0442908
3929150.43014893,1048564.17864207
3929161.03656195,1041818.20971007
3927888.27700674,1046849.50316318
3932431.53292872,1042677.00287917
3926081.22029501,1042900.51886573
3835088.91414084,727993.267563766
3833444.95047121,724209.74669678
3837783.62766199,826858.409942404
3933459.25062264,1042795.75341599
3936754.28369363,1042391.02187736
3938040.62749926,1038206.83146599
3942363.54964677,1041011.63509139
3938322.43445548,1040073.12199135
3939815.71429014,1040529.36409044
3903788.49436225,1103822.27877013
3906088.16298971,1102501.67944362
3912775.53167575,1009729.06703448
3907763.56759353,1010582.65430056
3907032.05451704,1007808.70513165
3909621.34111841,1009860.59184924
3907778.16232119,1003062.17131996
3906861.0529131,1004633.55428633
3906521.15352758,1006158.43426927
3911390.2481471,1004907.75457834
3889848.33852101,1067631.53011846
3890759.39007565,1068410.71489836
3891390.89267386,1070645.51103267
3855001.90428124,901459.340906567
3856456.17726396,901217.377172515
3855528.17181576,896383.366179651
3811014.87415194,932668.161432711
3894791.09448126,842241.463661956
3896998.10010068,841186.339210617
3896553.96541599,845120.580513665
3894786.17970332,839475.869509298
3889987.03032624,843426.448254405
3893729.59697782,842970.694944339
3825430.17083008,789177.236935328
3966316.87517895,989932.960703612
3970499.84389042,990043.282976427
3935853.76269289,1037932.68403667
3937544.34262369,943424.786268541
3939312.05808219,940843.255200541
3915728.06768524,861858.194359045
3916339.26745035,866341.713327319
3912036.58915583,859548.700701243
3946770.20044419,1082141.19545903
3952940.68752517,1081181.36657921
3951520.94673732,1084501.86025251
3946744.39172013,1082499.83880051
3948466.99997025,1084488.88299794
3948216.61007706,1084138.54436736
3978885.45980464,1052761.27087935
3971630.6755834,1056492.48020328
3969516.56632177,1055676.17173115
3971793.71984213,1054683.59853726
3971926.90262896,1057313.123486
3972728.40094,1059841.63826017
3971954.28412814,1055815.08080692
3917792.59683876,1082125.85924065
3915475.62004133,1079281.34955805
3979398.27962135,1009630.16052139
3982410.37465065,1009588.48707405
3978464.6339794,1013724.00921668
3881063.65731189,910414.904849455
3879763.81393832,910843.359754287
